Alteration01;EnchArmorFortifyAlteration01 "Fortify Alteration" [ENCH:0007A107];of Minor Alteration
Alteration02;EnchArmorFortifyAlteration02 "Fortify Alteration" [ENCH:000AD49F];of Alteration
Alteration03;EnchArmorFortifyAlteration03 "Fortify Alteration" [ENCH:000AD4A0];of Major Alteration
Alteration04;EnchArmorFortifyAlteration04 "Fortify Alteration" [ENCH:000BE037];of Eminent lteration
Alteration05;EnchArmorFortifyAlteration05 "Fortify Alteration" [ENCH:000BE038];of Extreme Alteration
Alteration06;EnchArmorFortifyAlteration06 "Fortify Alteration" [ENCH:000BE039];of Peerless Alteration
Conjuration01;EnchArmorFortifyConjuration01 "Fortify Conjuration" [ENCH:0007A10A];of Minor Conjuring
Conjuration02;EnchArmorFortifyConjuration02 "Fortify Conjuration" [ENCH:000AD453];of Conjuring
Conjuration03;EnchArmorFortifyConjuration03 "Fortify Conjuration" [ENCH:000AD454];of Major Conjuring
Conjuration04;EnchArmorFortifyConjuration04 "Fortify Conjuration" [ENCH:000AD455];of Eminent Conjuring
Conjuration05;EnchArmorFortifyConjuration05 "Fortify Conjuration" [ENCH:000AD456];of Extreme Conjuring
Conjuration06;EnchArmorFortifyConjuration06 "Fortify Conjuration" [ENCH:000AD457];of Peerless Conjuring
Destruction01;EnchArmorFortifyDestruction01 "Fortify Destruction" [ENCH:0007A10B];of Minor Destruction
Destruction02;EnchArmorFortifyDestruction02 "Fortify Destruction" [ENCH:000AD458];of Destruction
Destruction03;EnchArmorFortifyDestruction03 "Fortify Destruction" [ENCH:000AD459];of Major Destruction
Destruction04;EnchArmorFortifyDestruction04 "Fortify Destruction" [ENCH:000AD45A];of Eminent Destruction
Destruction05;EnchArmorFortifyDestruction05 "Fortify Destruction" [ENCH:000AD45B];of Extreme Destruction
Destruction06;EnchArmorFortifyDestruction06 "Fortify Destruction" [ENCH:000AD45C];of Peerless Destruction
Health01;EnchArmorFortifyHealth01 "Fortify Health" [ENCH:00049509];of Minor Health
Health02;EnchArmorFortifyHealth02 "Fortify Health" [ENCH:000AD461];of Health
Health03;EnchArmorFortifyHealth03 "Fortify Health" [ENCH:000AD462];of Major Health
Health04;EnchArmorFortifyHealth04 "Fortify Health" [ENCH:000BDFFC];of Eminent Health
Health05;EnchArmorFortifyHealth05 "Fortify Health" [ENCH:000BDFFD];of Extreme Health
Health06;EnchArmorFortifyHealth06 "Fortify Health" [ENCH:000BDFFE];of Peerless Health
HealthRegen03;EnchArmorFortifyHealRate03 "Fortify Healing Rate" [ENCH:000AD460];of Mending
HealthRegen04;EnchArmorFortifyHealRate04 "Fortify Healing Rate" [ENCH:0007A10D];of Revival
HealthRegen05;EnchArmorFortifyHealRate05 "Fortify Healing Rate" [ENCH:000AD45F];of Regeneration
HealthRegen06;EnchArmorFortifyHealRate06 "Fortify Healing Rate" [ENCH:000AD493];of Remedy
HeavyArmor01;EnchArmorFortifyHeavyArmor01 "Fortify Heavy Armor" [ENCH:0007A10E];of the Minor Knight
HeavyArmor02;EnchArmorFortifyHeavyArmor02 "Fortify Heavy Armor" [ENCH:000AD463];of the Knight
HeavyArmor03;EnchArmorFortifyHeavyArmor03 "Fortify Heavy Armor" [ENCH:000AD464];of the Major Knight
HeavyArmor04;EnchArmorFortifyHeavyArmor04 "Fortify Heavy Armor" [ENCH:000BDFFF];of the Eminent Knight
HeavyArmor05;EnchArmorFortifyHeavyArmor05 "Fortify Heavy Armor" [ENCH:000BE000];of the Extreme Knight
HeavyArmor06;EnchArmorFortifyHeavyArmor06 "Fortify Heavy Armor" [ENCH:000BE001];of the Peerless Knight
Illusion01;EnchArmorFortifyIllusion01 "Fortify Illusion" [ENCH:0007A10F];of Minor Illusion
Illusion02;EnchArmorFortifyIllusion01 "Fortify Illusion" [ENCH:0007A10F];of Illusion
Illusion03;EnchArmorFortifyIllusion03 "Fortify Illusion" [ENCH:000AD466];of Major Illusion
Illusion04;EnchArmorFortifyIllusion04 "Fortify Illusion" [ENCH:000BE002];of Eminent Illusion
Illusion05;EnchArmorFortifyIllusion05 "Fortify Illusion" [ENCH:000BE003];of Extreme Illusion
Illusion06;EnchArmorFortifyIllusion06 "Fortify Illusion" [ENCH:000BE004];of Peerless Illusion
LightArmor01;EnchArmorFortifyLightArmor01 "Fortify Light Armor" [ENCH:0007A110];of the Minor Squire
LightArmor02;EnchArmorFortifyLightArmor02 "Fortify Light Armor" [ENCH:000AD467];of the Squire
LightArmor03;EnchArmorFortifyLightArmor03 "Fortify Light Armor" [ENCH:000AD468];of the Major Squire
LightArmor04;EnchArmorFortifyLightArmor04 "Fortify Light Armor" [ENCH:000BE005];of the Eminent Squire
