Carry01;EnchArmorFortifyCarry01 Fortify Carry Weight [ENCH:0007A109];of Lifting
Carry02;EnchArmorFortifyCarry02 Fortify Carry Weight [ENCH:000AD44C];of Hauling
Carry03;EnchArmorFortifyCarry03 Fortify Carry Weight [ENCH:000AD44D];of Strength
ResistFire01;EnchArmorResistFire01 Resist Fire [ENCH:0004950B];of Resist Fire
ResistFire02;EnchArmorResistFire02 Resist Fire [ENCH:000AD483];of Warning Fire
ResistFire03;EnchArmorResistFire03 Resist Fire [ENCH:000AD484];of Dwindling Flames
ResistFrost01;EnchArmorResistFrost01 Resist Frost [ENCH:0004950C];of Resist Frost
ResistFrost02;EnchArmorResistFrost02 Resist Frost [ENCH:000AD485];of Warning Frost
ResistFrost03;EnchArmorResistFrost03 Resist Frost [ENCH:000AD486];of Dwindling Frost
ResistShock01;EnchArmorResistShock01 Resist Shock [ENCH:0004950D];of Resist Shock
ResistShock02;EnchArmorResistShock02 Resist Shock [ENCH:000AD487];of Warning Shock
ResistShock03;EnchArmorResistShock03 Resist Shock [ENCH:000AD488];of Dwindling Shock
Sneak01;EnchArmorFortifySneak01 Fortify Sneak [ENCH:0007A118];of Minor Sneaking
Sneak02;EnchArmorFortifySneak02 Fortify Sneak [ENCH:000AD479];of Sneaking
Sneak03;EnchArmorFortifySneak03 Fortify Sneak [ENCH:000AD47A];of Major Sneaking
Stamina01;EnchArmorFortifyStamina01 Fortify Stamina [ENCH:0004950A];of Minor Stamina
Stamina02;EnchArmorFortifyStamina02 Fortify Stamina [ENCH:000AD47D];of Stamina
Stamina03;EnchArmorFortifyStamina03 Fortify Stamina [ENCH:000AD47E];of Major Stamina
