Alchemy01;EnchArmorFortifyAlchemy01 "Fortify Alchemy" [ENCH:0008B65B];of Minor Alchemy
Alchemy02;EnchArmorFortifyAlchemy02 "Fortify Alchemy" [ENCH:0008B65D];of Alchemy
Alchemy03;EnchArmorFortifyAlchemy03 "Fortify Alchemy" [ENCH:0008B65E];of Major Alchemy
Alchemy04;EnchArmorFortifyAlchemy04 "Fortify Alchemy" [ENCH:0008B65F];of Eminent Alchemy
Alchemy05;EnchArmorFortifyAlchemy05 "Fortify Alchemy" [ENCH:0008B660];of Extreme Alchemy
Alchemy06;EnchArmorFortifyAlchemy06 "Fortify Alchemy" [ENCH:0008B661];of Peerless Alchemy
Barter01;EnchArmorFortifySpeechcraft01 "Fortify Barter" [ENCH:0007A119];of Minor Haggling
Barter02;EnchArmorFortifySpeechcraft02 "Fortify Barter" [ENCH:000AD47B];of Haggling
Barter03;EnchArmorFortifySpeechcraft03 "Fortify Barter" [ENCH:000AD47C];of Major Haggling
Barter04;EnchArmorFortifySpeechcraft04 "Fortify Barter" [ENCH:000BE01E];of Eminent Haggling
Barter05;EnchArmorFortifySpeechcraft05 "Fortify Barter" [ENCH:000BE01F];of Extreme Haggling
Barter06;EnchArmorFortifySpeechcraft06 "Fortify Barter" [ENCH:000BE020];of Peerless Haggling
Destruction01;EnchArmorFortifyDestruction01 "Fortify Destruction" [ENCH:0007A10B];of Minor Destruction
Destruction02;EnchArmorFortifyDestruction02 "Fortify Destruction" [ENCH:000AD458];of Destruction
Destruction03;EnchArmorFortifyDestruction03 "Fortify Destruction" [ENCH:000AD459];of Major Destruction
Destruction04;EnchArmorFortifyDestruction04 "Fortify Destruction" [ENCH:000AD45A];of Eminent Destruction
Destruction05;EnchArmorFortifyDestruction05 "Fortify Destruction" [ENCH:000AD45B];of Extreme Destruction
Destruction06;EnchArmorFortifyDestruction06 "Fortify Destruction" [ENCH:000AD45C];of Peerless Destruction
HealthRegen03;EnchArmorFortifyHealRate03 "Fortify Healing Rate" [ENCH:000AD460];of Mending
HealthRegen04;EnchArmorFortifyHealRate04 "Fortify Healing Rate" [ENCH:0007A10D];of Revival
HealthRegen05;EnchArmorFortifyHealRate05 "Fortify Healing Rate" [ENCH:000AD45F];of Regeneration
HealthRegen06;EnchArmorFortifyHealRate06 "Fortify Healing Rate" [ENCH:000AD493];of Remedy
HeavyArmor01;EnchArmorFortifyHeavyArmor01 "Fortify Heavy Armor" [ENCH:0007A10E];of the Minor Knight
HeavyArmor02;EnchArmorFortifyHeavyArmor02 "Fortify Heavy Armor" [ENCH:000AD463];of the Knight
HeavyArmor03;EnchArmorFortifyHeavyArmor03 "Fortify Heavy Armor" [ENCH:000AD464];of the Major Knight
HeavyArmor04;EnchArmorFortifyHeavyArmor04 "Fortify Heavy Armor" [ENCH:000BDFFF];of the Eminent Knight
HeavyArmor05;EnchArmorFortifyHeavyArmor05 "Fortify Heavy Armor" [ENCH:000BE000];of the Extreme Knight
HeavyArmor06;EnchArmorFortifyHeavyArmor06 "Fortify Heavy Armor" [ENCH:000BE001];of the Peerless Knight
LightArmor01;EnchArmorFortifyLightArmor01 "Fortify Light Armor" [ENCH:0007A110];of the Minor Squire
LightArmor02;EnchArmorFortifyLightArmor02 "Fortify Light Armor" [ENCH:000AD467];of the Squire
LightArmor03;EnchArmorFortifyLightArmor03 "Fortify Light Armor" [ENCH:000AD468];of the Major Squire
